PrefName,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
Hokkaido,0,253809.6082,373582.2818,534013.9592,385851.1635,542058.0891,594788.7003,750393.3002,732281.7867,766303.7558,813361.8414,834828.2464,831042.828,858223.1956,606038.5693,790441.4032,823895.8005,892747.2685,855641.4703,761657.4734,940420.6793,933606.5747,955399.5921,1015465.02,1012150.164,1015057.687,1057940.002,1071648.057,1045425.622,1118118.244,1038697.137,1104721.096,1132042.276,1232589.444,1306094.414,1159939.172,1157160.339,1266952.894,1255773.926,1417093.835,1454929.587,1523500.341,1470515.194,1382704.786,1514922.602,1592274.617,2243837.572
Aomori,253809.6082,0,129308.0165,283958.8684,134229.0704,288698.1386,342133.9335,498307.8367,478574.244,513378.8402,559583.202,581899.2396,577316.7066,604495.538,356541.5675,551406.1002,590236.2852,659068.0379,603490.8639,513842.681,698286.4071,681263.143,711026.6015,772071.6103,774811.7345,778739.5886,821655.1323,838125.3438,806701.2574,882121.3751,820167.3441,897800.6718,909111.9091,1020612.793,1100850.492,927751.9139,930921.8673,1047837.663,1028599.111,1215412.058,1251139.23,1318932.621,1259702.125,1168443.438,1293452.185,1374737.293,2019412.02
Iwate,373582.2818,129308.0165,0,161119.794,90055.14459,176229.346,224893.7787,378303.2075,365613.1758,410935.6709,447005.416,463901.6422,463769.0062,490797.6279,272358.0873,480192.9759,525755.3167,592445.7741,502923.642,427218.3114,618172.2481,579066.3118,626879.0224,688634.5284,700556.9122,705838.7113,748072.0124,767930.9249,729939.2831,808025.0793,767742.84,855361.8544,850259.4974,971229.9255,1056613.03,857905.156,868046.5004,990991.6632,963359.2598,1172914.29,1206404.671,1272838.38,1208545.354,1114976.358,1231681.861,1316225.608,1950991.942
Miyagi,534013.9592,283958.8684,161119.794,0,174197.7485,44628.37788,67653.34329,217216.6328,208277.4329,263036.9635,288924.6732,303084.8122,304931.1434,331705.0167,167180.8902,367822.8446,419205.2672,479878.8295,354451.954,298140.7183,488810.6175,427756.6664,492802.1025,553944.6627,575577.3179,582239.7921,622753.7505,645910.2775,601544.4575,681003.4519,665989.6649,762968.2104,739132.0048,868450.7886,958226.5371,734568.8552,752100.8196,879615.314,843332.1868,1074868.391,1105485.322,1169722.212,1100610.954,1005603.282,1112355.755,1199561.211,1821665.698
Akita,385851.1635,134229.0704,90055.14459,174197.7485,0,165634.8606,220831.5212,376076.6092,350481.4679,380482.5607,430473.0736,456605.2074,448665.0154,475749.9606,222347.031,420348.5709,461568.9806,529918.7272,469915.5668,379777.004,565485.8087,547826.4372,577536.8975,638775.5547,643580.1728,647903.9184,690707.7349,708253.34,674864.4957,751132.3705,697509.6882,780576.8735,783717.7525,899922.9618,983026.4439,798159.3705,803894.8088,923592.0327,900814.6148,1098719.291,1133252.834,1200388.582,1138464.921,1045957.099,1167377.056,1250144.037,1891170.401
Yamagata,542058.0891,288698.1386,176229.346,44628.37788,165634.8606,0,55217.91613,210905.3075,190660.6034,235494.9933,272054.9953,293295.8807,289362.2359,316523.0444,123408.3146,327323.0626,377918.3457,439954.1922,327590.6612,261512.4614,453286.8797,403147.4248,458963.3449,520508.1936,538966.5801,545258.2135,586356.0001,608655.5378,566026.7942,645229.302,624686.8914,720585.4728,699581.6226,827619.516,916839.2548,697836.0499,713579.0059,840319.0178,805905.3516,1033535.962,1064596.307,1129223.786,1060884.355,966058.6754,1075034.222,1161681.789,1787433.84
Fukushima,594788.7003,342133.9335,224893.7787,67653.34329,220831.5212,55217.91613,0,156336.7232,141292.3177,195948.0736,222424.8956,240047.3628,238943.2086,265931.9309,128260.2265,311790.9178,364496.5002,421995.0027,287032.6381,236793.1571,425284.2826,360104.7427,427945.5139,488712.3759,512873.7916,519910.6841,559745.2473,583752.9025,537767.3179,617328.3945,610237.906,709815.3002,679872.3894,811295.8571,902151.9385,671724.95,691314.2024,819762.2978,781097.7023,1018546.035,1048190.586,1111618.669,1041222.696,946004.0474,1049803.969,1137583.83,1756363.822
Ibaraki,750393.3002,498307.8367,378303.2075,217216.6328,376076.6092,210905.3075,156336.7232,0,56285.1619,124493.3654,89724.93813,86786.35028,99323.30545,122890.6853,214467.4041,292418.0429,343604.7991,381139.4053,185282.8471,205872.4856,352485.7347,240478.5581,345060.9496,399327.9336,440183.8932,449147.6936,483089.123,511267.6256,457034.4899,534416.817,567866.8564,674399.4348,619332.6978,756977.1918,850611.6269,592419.5454,622852.0996,752981.1045,702787.4305,964171.6236,989363.4325,1048574.431,973236.5295,878295.7513,965922.2597,1055937.041,1652029.514
Tochigi,732281.7867,478574.244,365613.1758,208277.4329,350481.4679,190660.6034,141292.3177,56285.1619,0,76240.34345,81442.92059,108808.8175,98768.3788,125947.7412,166795.1229,239428.0769,291594.5435,333465.3377,155041.8938,152609.1648,313478.6399,222456.3457,309670.5003,367244.613,402183.8729,410581.7208,446850.2351,473793.6423,422069.3708,500847.2032,522162.0272,627636.5954,578746.6082,715206.8765,808382.1583,557845.8797,584725.8743,714868.46,668355.681,922993.6963,949496.1206,1010069.036,936109.4622,840856.0187,934265.177,1023622.925,1629630.081
Gunma,766303.7558,513378.8402,410935.6709,263036.9635,380482.5607,235494.9933,195948.0736,124493.3654,76240.34345,0,79470.86528,129581.0189,96402.95978,117096.8429,167736.1995,169003.1592,219356.1929,257763.5654,92095.66805,83920.0478,238515.3043,168473.7232,236584.3784,295775.4457,327324.371,335481.6244,372626.5375,398975.5139,348559.2482,427798.1757,446053.6332,551776.3309,502862.6923,639082.5127,732198.1933,484132.5922,509509.0149,639548.7579,594515.2637,846914.2014,873636.7177,934513.9161,860986.6728,765676.3793,861474.6656,950428.935,1561980.968
